Date,Stations_id,Quality,Air_temperature,Steam_pressure,Cloudiness,Airpressure_stationsheight,relative_moisture,Air_speed,Air_temperature_max,Air_temperature_min,Soil_tem_min,Wind_speed_max,Rain,Rain_ind,Sunny_hours,Snow_height,eor
19470101.0,       98,5.0,-2.8,4.8,8.0,922.8,98.0,,-1.4,-6.5,-7.0,,2.5,8.0,,14.0,eor
19470102.0,       98,5.0,-3.6,4.5,8.0,926.4,98.0,,-1.4,-4.0,-5.5,,2.8,7.0,,16.0,eor
19470103.0,       98,5.0,-3.0,4.9,8.0,932.7,98.0,,-0.1,-4.5,-4.4,,0.1,7.0,,19.0,eor
19470104.0,       98,5.0,-9.1,2.4,2.7,933.1,79.0,,-4.4,-10.3,-10.5,,0.0,0.0,7.2,20.0,eor
19470105.0,       98,5.0,-13.1,1.5,0.0,926.4,62.0,,-7.4,-15.8,-15.9,,0.0,0.0,7.9,20.0,eor
19470106.0,       98,5.0,-14.3,1.5,1.0,920.6,66.0,,-10.4,-16.9,-20.5,,0.0,0.0,7.1,20.0,eor
19470107.0,       98,5.0,-11.8,1.6,2.7,918.7,64.0,,-7.8,-16.1,-19.4,,0.0,0.0,7.7,20.0,eor
19470108.0,       98,5.0,-6.9,3.5,8.0,920.8,98.0,,-4.6,-15.6,-19.7,,0.7,7.0,0.0,20.0,eor
19470109.0,       98,5.0,-1.4,5.3,8.0,919.2,99.0,,-0.2,-7.1,-8.0,,1.6,7.0,0.0,21.0,eor
19470110.0,       98,5.0,-1.4,5.5,8.0,923.4,99.0,,-0.3,-1.9,-3.5,,3.7,7.0,0.0,22.0,eor
19470111.0,       98,5.0,-2.1,5.1,8.0,915.0,99.0,,-1.5,-2.7,-3.9,,3.5,8.0,0.0,25.0,eor
19470112.0,       98,5.0,-0.3,6.0,8.0,912.3,99.0,,1.5,-2.0,-2.9,,3.2,8.0,0.5,20.0,eor
19470113.0,       98,5.0,1.0,6.5,8.0,910.3,97.0,,3.5,-0.5,-2.4,,7.3,8.0,0.0,18.0,eor
19470114.0,       98,5.0,0.3,6.1,8.0,920.4,99.0,,1.4,-1.5,-2.4,,5.3,8.0,0.0,24.0,eor
