Date,Air_temperature,Moisture,Cloudiness,Rain_fall_ind,Rain_height,Airpressure_reduced,Airpressure_station,WINDGESCHWINDIGKEIT
1949010100.0,,,8.0,,,907.0,,
1949010103.0,,,8.0,,,904.6,,
1949010106.0,,,8.0,,,901.1,,
1949010109.0,,,-1.0,,,,,
1949010112.0,,,7.0,,,,,
1949010115.0,,,8.0,,,,,
1949010118.0,,,8.0,,,,,
1949010121.0,,,-1.0,,,,,
1949010200.0,,,8.0,,,,,
1949010203.0,,,6.0,,,,,
1949010206.0,,,8.0,,,,,
1949010209.0,,,-1.0,,,900.7,,
1949010212.0,,,8.0,,,902.7,,
1949010215.0,,,7.0,,,903.1,,
1949010218.0,,,-1.0,,,903.9,,
1949010221.0,,,-1.0,,,905.1,,
1949010300.0,,,-1.0,,,906.0,,
1949010303.0,,,-1.0,,,906.4,,
1949010306.0,,,-1.0,,,908.2,,
1949010309.0,,,8.0,,,910.4,,
1949010312.0,,,7.0,,,911.1,,
1949010315.0,,,8.0,,,911.0,,
1949010318.0,,,7.0,,,913.7,,
1949010321.0,,,6.0,,,916.0,,
1949010400.0,,,8.0,,,916.3,,
1949010403.0,,,8.0,,,916.4,,
1949010406.0,,,7.0,,,917.6,,
1949010409.0,,,6.0,,,919.4,,
1949010412.0,,,7.0,,,920.0,,
1949010415.0,,,7.0,,,919.5,,
1949010418.0,,,8.0,,,919.5,,
1949010421.0,,,8.0,,,919.9,,
1949010500.0,,,8.0,,,919.8,,
1949010503.0,,,-1.0,,,921.0,,
1949010506.0,,,-1.0,,,923.0,,
1949010509.0,,,-1.0,,,926.7,,
1949010512.0,,,-1.0,,,928.8,,
1949010515.0,,,-1.0,,,932.6,,
1949010518.0,,,-1.0,,,935.1,,
1949010521.0,,,-1.0,,,937.3,,
1949010600.0,,,-1.0,,,938.9,,
1949010603.0,,,-1.0,,,940.3,,
1949010606.0,,,-1.0,,,940.7,,
1949010609.0,,,-1.0,,,942.3,,
1949010612.0,,,-1.0,,,942.9,,
1949010615.0,,,-1.0,,,942.9,,
1949010618.0,,,-1.0,,,943.1,,
1949010621.0,,,-1.0,,,943.3,,
1949010700.0,,,-1.0,,,943.1,,
1949010703.0,,,-1.0,,,942.4,,
1949010706.0,,,-1.0,,,941.7,,
1949010709.0,,,-1.0,,,941.2,,
1949010712.0,,,-1.0,,,939.7,,
1949010715.0,,,4.0,,,937.5,,
1949010718.0,,,2.0,,,935.7,,
1949010721.0,,,2.0,,,933.2,,
1949010800.0,,,2.0,,,930.7,,
1949010803.0,,,0.0,,,928.0,,
1949010806.0,,,-1.0,,,925.2,,
1949010809.0,,,-1.0,,,924.6,,
1949010812.0,,,-1.0,,,922.6,,
1949010815.0,,,-1.0,,,921.7,,
1949010818.0,,,-1.0,,,921.6,,
1949010821.0,,,-1.0,,,922.0,,
1949010900.0,,,7.0,,,924.0,,
1949010903.0,,,7.0,,,925.9,,
1949010906.0,,,3.0,,,927.1,,
1949010909.0,,,7.0,,,928.2,,
1949010912.0,,,-1.0,,,927.9,,
1949010915.0,,,-1.0,,,926.7,,
1949010918.0,,,6.0,,,928.0,,
1949010921.0,,,6.0,,,929.5,,
1949011000.0,,,8.0,,,929.6,,
1949011003.0,,,6.0,,,929.6,,
1949011006.0,,,8.0,,,929.9,,
1949011009.0,,,6.0,,,930.9,,
1949011012.0,,,5.0,,,930.1,,
1949011015.0,,,7.0,,,928.4,,
1949011018.0,,,4.0,,,927.8,,
1949011021.0,,,0.0,,,926.4,,
1949011100.0,,,-1.0,,,923.4,,
1949011103.0,,,-1.0,,,922.7,,
1949011106.0,,,8.0,,,920.7,,
1949011109.0,,,8.0,,,920.3,,
1949011112.0,,,8.0,,,918.6,,
1949011115.0,,,-1.0,,,917.1,,
1949011118.0,,,-1.0,,,916.6,,
1949011121.0,,,-1.0,,,915.9,,
1949011200.0,,,-1.0,,,915.5,,
1949011203.0,,,-1.0,,,914.9,,
1949011206.0,,,-1.0,,,914.4,,
1949011209.0,,,7.0,,,917.0,,
1949011212.0,,,7.0,,,918.9,,
1949011215.0,,,8.0,,,920.4,,
1949011218.0,,,7.0,,,923.4,,
1949011221.0,,,6.0,,,926.9,,
1949011300.0,,,8.0,,,928.7,,
1949011303.0,,,-1.0,,,931.1,,
1949011306.0,,,-1.0,,,933.2,,
1949011309.0,,,7.0,,,936.0,,
1949011312.0,,,7.0,,,937.7,,
1949011315.0,,,3.0,,,937.3,,
1949011318.0,,,-1.0,,,938.6,,
1949011321.0,,,8.0,,,938.6,,
1949011400.0,,,7.0,,,937.6,,
1949011403.0,,,-1.0,,,935.9,,
1949011406.0,,,-1.0,,,933.5,,
1949011409.0,,,-1.0,,,932.8,,
1949011412.0,,,-1.0,,,931.5,,
1949011415.0,,,-1.0,,,930.0,,
1949011418.0,,,-1.0,,,929.3,,
1949011421.0,,,8.0,,,928.4,,
1949011500.0,,,8.0,,,928.0,,
1949011503.0,,,8.0,,,927.4,,
1949011506.0,,,8.0,,,927.5,,
1949011509.0,,,8.0,,,928.0,,
1949011512.0,,,7.0,,,928.0,,
1949011515.0,,,8.0,,,928.2,,
