,Stations_id,Date,Quality,Air_temperature,Steam_pressure,Cloudiness,Airpressure_stationsheight,relative_moisture,Air_speed,Air_temperature_max,Air_temperature_min,Soil_tem_min,Wind_speed_max,Rain,Rain_ind,Sunny_hours,Snow_height,eor
0,      450,19450101.0,5.0,-6.8,2.9,2.0,,76.0,,-0.6,-9.9,-15.2,,0.0,0.0,2.9,2.0,eor
1,      450,19450102.0,5.0,-5.5,3.1,6.3,,77.0,,-0.8,-12.8,-14.6,,0.0,0.0,0.7,2.0,eor
2,      450,19450103.0,5.0,1.8,5.7,8.0,,87.0,,3.5,-1.0,-5.4,,0.6,8.0,0.0,2.0,eor
3,      450,19450104.0,5.0,1.8,5.9,8.0,,84.0,,3.5,1.0,0.2,,1.8,8.0,0.0,1.0,eor
4,      450,19450105.0,5.0,-2.7,4.7,4.3,,89.0,,1.4,-4.6,-4.5,,0.0,0.0,0.4,1.0,eor
5,      450,19450106.0,5.0,-2.3,4.4,8.0,,85.0,,-0.7,-5.3,-9.4,,0.0,0.0,0.0,0.0,eor
6,      450,19450107.0,5.0,-1.2,4.9,8.0,,87.0,,-0.7,-3.0,-5.4,,4.0,7.0,0.0,0.0,eor
7,      450,19450108.0,5.0,-0.9,4.7,7.7,,83.0,,0.7,-3.5,-5.2,,2.4,7.0,0.0,5.0,eor
8,      450,19450109.0,5.0,-2.2,4.3,5.3,,81.0,,0.4,-4.0,-4.4,,0.2,7.0,0.0,8.0,eor
9,      450,19450110.0,5.0,-3.8,4.0,6.3,,86.0,,-1.2,-4.8,-5.4,,0.0,0.0,1.4,6.0,eor
10,      450,19450111.0,5.0,-5.4,3.5,8.0,,83.0,,-2.0,-6.3,-3.8,,3.6,7.0,0.0,5.0,eor
11,      450,19450112.0,5.0,-4.3,3.5,4.0,,79.0,,-2.5,-5.7,-3.1,,0.0,0.0,2.6,9.0,eor
12,      450,19450113.0,5.0,1.4,5.5,4.0,,81.0,,3.8,-4.2,-2.6,,0.0,0.0,0.5,5.0,eor
13,      450,19450114.0,5.0,-4.4,3.6,1.0,,75.0,,1.1,-7.0,-10.4,,0.0,0.0,7.3,5.0,eor
14,      450,19450115.0,5.0,-6.6,2.9,6.3,,80.0,,0.7,-12.1,-10.0,,0.0,0.0,0.0,4.0,eor
15,      450,19450116.0,5.0,-2.2,3.9,4.7,,72.0,,1.3,-11.3,-5.6,,0.0,0.0,7.1,4.0,eor
16,      450,19450117.0,5.0,-3.6,4.0,8.0,,88.0,,0.4,-11.5,-14.3,,1.2,7.0,0.0,3.0,eor
17,      450,19450118.0,5.0,2.2,6.0,8.0,,88.0,,4.3,-3.2,-3.6,,9.6,1.0,0.0,4.0,eor
18,      450,19450119.0,5.0,2.0,5.2,6.7,,71.0,,4.3,-5.6,0.0,,1.1,8.0,0.1,0.0,eor
19,      450,19450120.0,5.0,-0.7,4.7,8.0,,80.0,,0.8,-5.5,-4.1,,0.3,7.0,0.6,0.0,eor
20,      450,19450121.0,5.0,-2.6,3.9,7.3,,75.0,,0.3,-3.6,-4.0,,0.1,7.0,2.4,2.0,eor
21,      450,19450122.0,5.0,-1.5,4.3,7.3,,75.0,,0.7,-2.4,-4.9,,0.0,0.0,2.1,2.0,eor
22,      450,19450123.0,5.0,-2.3,3.5,6.7,,68.0,,-0.5,-6.1,-7.7,,4.5,7.0,1.0,1.0,eor
23,      450,19450124.0,5.0,-6.9,3.3,5.0,,81.0,,-1.2,-13.9,-7.0,,0.0,0.0,1.7,6.0,eor
24,      450,19450125.0,5.0,-7.6,2.9,8.0,,88.0,,-4.2,-11.2,-15.0,,3.5,7.0,0.0,5.0,eor
25,      450,19450126.0,5.0,-3.2,3.6,7.3,,77.0,,-1.8,-7.5,-8.0,,0.1,7.0,1.0,8.0,eor
26,      450,19450127.0,5.0,-4.9,3.7,6.3,,82.0,,-0.8,-8.5,-3.7,,0.1,7.0,1.0,8.0,eor
27,      450,19450128.0,5.0,-4.0,3.9,8.0,,83.0,,-1.7,-12.7,-5.5,,0.0,1.0,0.2,8.0,eor
28,      450,19450129.0,5.0,-7.4,2.7,7.7,,79.0,,-2.7,-14.8,-9.2,,0.0,1.0,1.0,8.0,eor
29,      450,19450130.0,5.0,-3.8,3.9,8.0,,86.0,,-1.1,-9.0,-7.0,,0.0,1.0,0.0,8.0,eor
30,      450,19450131.0,5.0,5.2,8.0,8.0,,91.0,,5.6,0.7,-1.6,,2.1,1.0,0.0,7.0,eor
31,      450,19450201.0,5.0,7.4,8.8,8.0,,85.0,,8.6,7.3,3.0,,1.4,1.0,0.0,0.0,eor
32,      450,19450202.0,5.0,8.0,7.9,6.0,,73.0,,11.0,6.0,3.7,,2.6,1.0,4.0,0.0,eor
33,      450,19450203.0,5.0,2.6,7.1,5.0,,88.0,,8.8,-0.5,4.7,,0.0,0.0,1.1,0.0,eor
34,      450,19450204.0,5.0,5.7,7.6,8.0,,88.0,,8.8,-1.8,-4.1,,4.5,1.0,0.0,0.0,eor
35,      450,19450205.0,5.0,8.6,10.0,7.7,,92.0,,9.8,2.2,2.0,,3.8,1.0,0.0,0.0,eor
36,      450,19450206.0,5.0,6.8,8.1,8.0,,80.0,,9.8,0.0,5.1,,1.1,1.0,0.1,0.0,eor
37,      450,19450207.0,5.0,8.2,9.2,6.7,,86.0,,10.3,-1.0,4.5,,1.8,1.0,0.0,0.0,eor
38,      450,19450208.0,5.0,8.0,7.9,7.7,,73.0,,9.3,5.9,5.6,,3.8,1.0,0.0,0.0,eor
39,      450,19450209.0,5.0,5.2,6.8,7.3,,75.0,,8.8,3.5,4.4,,1.3,1.0,1.2,0.0,eor
40,      450,19450210.0,5.0,6.6,7.5,7.0,,77.0,,7.7,4.0,3.6,,3.5,1.0,1.7,0.0,eor
41,      450,19450211.0,5.0,6.5,7.5,8.0,,78.0,,7.9,3.1,2.2,,7.2,1.0,1.2,0.0,eor
42,      450,19450212.0,5.0,9.2,9.7,8.0,,87.0,,12.0,6.0,4.1,,7.5,1.0,0.0,0.0,eor
43,      450,19450213.0,5.0,11.5,9.3,8.0,,69.0,,13.0,11.1,6.0,,3.3,1.0,0.9,0.0,eor
44,      450,19450214.0,5.0,6.8,7.1,2.0,,71.0,,12.8,5.2,3.5,,0.0,0.0,7.0,0.0,eor
45,      450,19450215.0,5.0,6.9,7.5,0.0,,78.0,,13.3,0.0,-0.2,,0.0,0.0,6.1,0.0,eor
46,      450,19450216.0,5.0,5.7,7.7,4.3,,83.0,,11.2,2.9,1.2,,0.0,0.0,7.3,0.0,eor
47,      450,19450217.0,5.0,4.4,7.3,8.0,,91.0,,7.5,0.8,0.6,,0.7,1.0,0.0,0.0,eor
48,      450,19450218.0,5.0,6.9,9.5,8.0,,96.0,,7.8,5.6,6.8,,2.5,1.0,0.0,0.0,eor
49,      450,19450219.0,5.0,5.5,7.9,4.7,,83.0,,8.8,2.0,7.5,,0.0,0.0,0.7,0.0,eor
50,      450,19450220.0,5.0,3.5,7.2,8.0,,92.0,,4.9,0.5,1.0,,6.7,1.0,0.0,0.0,eor
51,      450,19450221.0,5.0,3.8,6.7,4.3,,81.0,,9.1,1.4,2.9,,0.0,0.0,7.6,0.0,eor
52,      450,19450222.0,5.0,2.0,6.0,3.0,,84.0,,9.4,-1.5,1.4,,0.0,0.0,4.9,0.0,eor
53,      450,19450223.0,5.0,4.2,6.0,6.7,,75.0,,10.6,-2.2,-0.6,,1.1,1.0,3.2,0.0,eor
54,      450,19450224.0,5.0,3.2,5.9,5.3,,73.0,,10.3,0.3,1.0,,0.0,0.0,3.5,0.0,eor
