geoBreite;eoLaenge
47.8413;8.8493
50.7827;6.0941
52.9335;8.2370
53.6623;10.1990
48.8443;12.6171
48.2052;9.0371
48.2156;8.9784
48.2766;9.0001
48.6159;13.0506
52.4850;7.9119
50.7446;9.3450
50.7691;9.2542
51.1890;8.4671
53.8617;8.1266
50.9833;12.4333
47.8342;10.8667
53.6893;13.2420
51.0880;12.9328
49.7725;12.3891
48.4060;11.3117
49.7271;8.1169
49.4689;11.8547
48.0197;12.2924
50.4237;7.4202
53.0316;13.9907
53.8412;13.6846
50.5730;13.0053
52.2486;9.5056
49.1886;7.9766
49.2964;10.5751
49.3158;10.5815
54.6792;13.4343
52.6769;12.0077
54.6289;9.9294
51.3773;8.0713
49.9695;9.9113
51.3845;9.0820
51.3745;11.2920
49.9778;9.1114
51.7498;11.4667
50.5800;8.4685
47.8774;11.3642
48.5515;11.7117
50.5907;12.7140
48.3723;10.8948
48.4254;10.9420
47.9699;9.6672
53.4621;7.4670
48.7270;8.2458
47.8064;7.6387
48.5293;8.2727
47.8413;9.6606
49.8742;10.9206
49.8808;10.8695
49.8800;10.8800
53.8409;13.7549
52.3199;9.4300
54.3406;12.7108
52.0614;13.4996
51.1605;14.5037
49.9667;11.5197
51.7204;8.0577
53.6234;8.8323
49.5617;8.9673
54.3426;10.6018
52.3170;8.1693
50.4135;7.5886
49.6789;8.6276
47.6344;13.0109
49.3311;11.4303
52.8152;9.9248
49.1070;7.9967
51.0454;8.3851
50.9837;8.3679
52.4167;13.4833
52.5198;13.4054
52.6309;13.5022
52.4564;13.2997
52.4537;13.3017
52.4500;13.6500
52.6461;13.2858
52.5333;13.3833
52.4040;13.7309
52.4069;13.4127
52.4144;13.3036
52.5447;13.5598
52.5333;13.3833
52.5000;13.4667
52.4044;13.4838
52.3807;13.5306
52.5667;13.1694
52.5644;13.3088
52.6044;13.2952
52.4675;13.4021
52.4553;13.4699
52.4289;13.2327
51.8218;11.7109
49.9186;7.0664
49.2640;6.6868
