id,lat,lon,height,name,state
1,47.8413,8.8493,478,Aach,Baden-Württemberg
3,50.7827,6.0941,202,Aachen,Nordrhein-Westfalen
11,47.9737,8.5205,680,Donaueschingen (Landeplatz),Baden-Württemberg
44,52.9335,8.237,44,Großenkneten,Niedersachsen
52,53.6623,10.199,46,Ahrensburg-Wulfsdorf,Schleswig-Holstein
61,48.8443,12.6171,339,Aiterhofen,Bayern
70,48.2052,9.0371,712,Albstadt-Ebingen,Baden-Württemberg
71,48.2156,8.9784,759,Albstadt-Badkap,Baden-Württemberg
72,48.2766,9.0001,794,Albstadt-Onstmettingen,Baden-Württemberg
73,48.6159,13.0506,340,Aldersbach-Kriestorf,Bayern
78,52.485,7.9119,65,Alfhausen,Niedersachsen
90,50.7557,9.2583,305,Alsfeld,Hessen
91,50.7446,9.345,300,Alsfeld-Eifa,Hessen
93,50.7691,9.2542,269,Alsfeld-Reibertenrod,Hessen
98,51.189,8.4671,780,Altastenberg,Nordrhein-Westfalen
102,53.8617,8.1266,32,Leuchtturm Alte Weser,Niedersachsen
116,50.9833,12.4333,213,Altenburg,Thüringen
125,47.8342,10.8667,756,Altenstadt,Bayern
126,49.5447,10.2213,330,Uffenheim (Schulstr.),Bayern
129,53.6893,13.242,33,Altentreptow,Mecklenburg-Vorpommern
131,51.088,12.9328,296,Geringswalde-Altgeringswalde,Sachsen
132,49.7725,12.3891,750,Altglashütte,Bayern
142,48.406,11.3117,510,Altomünster-Maisbrunn,Bayern
150,49.7271,8.1169,215,Alzey,Rheinland-Pfalz
151,49.4689,11.8547,383,Amberg-Unterammersricht,Bayern
154,48.0197,12.2924,515,Amerang-Pfaffing,Bayern
161,50.4237,7.4202,75,Andernach,Rheinland-Pfalz
161,50.4238,7.4203,75,Andernach,Rheinland-Pfalz
164,53.0316,13.9907,54,Angermünde,Brandenburg
167,53.8412,13.6846,9,Anklam,Mecklenburg-Vorpommern
169,50.573,13.0053,630,Annaberg-Buchholz,Sachsen
172,52.2486,9.5056,395,Annaturm,Niedersachsen
174,49.1886,7.9766,250,Annweiler-Bindersbach,Rheinland-Pfalz
175,49.2964,10.5751,413,Ansbach,Bayern
177,49.3158,10.5815,418,Ansbach-Hennenbach,Bayern
181,52.8761,11.5042,30,Arendsee,Sachsen-Anhalt
183,54.6792,13.4343,42,Arkona,Mecklenburg-Vorpommern
184,52.6769,12.0077,55,Arneburg,Sachsen-Anhalt
185,54.6289,9.9294,3,Arnis,Schleswig-Holstein
186,51.3773,8.0713,218,Arnsberg,Nordrhein-Westfalen
191,49.9695,9.9113,220,Arnstein-Müdesheim,Bayern
193,51.3845,9.082,232,Arolsen-Neu Berich,Hessen
197,51.3218,9.0558,365,Arolsen-Volkhardinghausen,Hessen
198,51.3745,11.292,164,Artern,Thüringen
202,49.9778,9.1114,110,Aschaffenburg,Bayern
207,51.7498,11.4667,105,Aschersleben,Sachsen-Anhalt
211,50.58,8.4685,200,Aßlar Klein-Altenstädten,Hessen
217,47.8774,11.3642,672,Attenkam,Bayern
221,48.5515,11.7117,483,Au i.d.Hallertau-Günzenhausen,Bayern
222,50.5907,12.714,387,Aue,Sachsen
231,48.3723,10.8948,490,Augsburg (Sankt Stephan),Bayern
232,48.4254,10.942,461,Augsburg,Bayern
238,47.9699,9.6672,560,Aulendorf-Spiegler,Baden-Württemberg
