id,city,lat,lon
1,berlin,53.5200,13.4050
2,hamburg,53.5511,9.9937
3,muenchen,48.1351,11.5820
4,koeln,50.9375,6.9603
5,frankfurt,50.1109,8.6821
6,stuttgart,48.7758,9.1829
7,bremen,53.0793,8.8017
8,leipzig,51.3397,12.3731
9,hannover,52.3759,9.7321
10,nuernberg,49.4520,11.0768
11,dortmund,51.5136,7.4653
12,dresden,51.0504,13.7373
13,kassel,51.3127,9.4797
14,kiel,54.3233,10.1228
15,bielefeld,52.0302,8.5325
16,saarbruecken,49.2402,6.9969	
17,rostock,54.0924,12.0991
18,freiburg,47.9990,7.8421
19,magdeburg,52.1205,11.6276
20,erfurt,50.9848,11.0299
